Company ID,Type,Rule ID,Generated Text,Confidence Score (%)
ABB,Pro,PRO_1,Company has maintained a healthy ROE above 20% over multiple years.,100.0
ABB,Pro,PRO_6,Company has delivered exceptional profit growth with a 5-year PAT CAGR above 20%.,62.5
ABB,Pro,PRO_7,Company possesses strong debt service capacity with Interest Coverage Ratio above 10.,100.0
ABB,Pro,PRO_8,Company offers an attractive dividend yield backed by positive Free Cash Flow.,86.5
ABB,Pro,PRO_9,Company has consistently expanded per-share earnings with a 5-year EPS CAGR above 15%.,73.3
ABB,Pro,PRO_10,Company's Return on Equity (ROE) has consistently improved over 3 consecutive years.,76.6
ABB,Pro,PRO_11,Company exhibits operating leverage expansion with steady revenue and profit trajectory.,78.0
ABB,Pro,PRO_12,Company is expanding its total asset base while actively reducing overall debt.,81.1
ABB,Con,CON_FALLBACK,Valuation multiples and revenue growth trajectory require ongoing monitoring.,65.0
ADANIENSOL,Pro,PRO_4,Company has delivered strong revenue growth with a 5-year CAGR above 15%.,65.7
ADANIENSOL,Pro,PRO_5,Company demonstrates robust profitability with Operating Profit Margin exceeding 25%.,67.5
ADANIENSOL,Pro,PRO_11,Company exhibits operating leverage expansion with steady revenue and profit trajectory.,62.1
ADANIENSOL,Con,CON_2,Company has experienced negative Free Cash Flow for 3 consecutive years.,80.0
ADANIENSOL,Con,CON_3,Company's Operating Profit Margin has deteriorated for 3 consecutive years.,79.0
ADANIENSOL,Con,CON_10,Company generates low Return on Capital Employed (ROCE below 10%).,63.0
ADANIENSOL,Con,CON_11,"Company maintains high Net Debt to EBITDA ratio (>3.0x), signaling elevated leverage risk.",91.7
ADANIENT,Pro,PRO_4,Company has delivered strong revenue growth with a 5-year CAGR above 15%.,68.0
ADANIENT,Pro,PRO_6,Company has delivered exceptional profit growth with a 5-year PAT CAGR above 20%.,98.7
ADANIENT,Pro,PRO_9,Company has consistently expanded per-share earnings with a 5-year EPS CAGR above 15%.,93.9
ADANIENT,Pro,PRO_10,Company's Return on Equity (ROE) has consistently improved over 3 consecutive years.,73.8
ADANIENT,Pro,PRO_11,Company exhibits operating leverage expansion with steady revenue and profit trajectory.,100.0
ADANIENT,Con,CON_11,"Company maintains high Net Debt to EBITDA ratio (>3.0x), signaling elevated leverage risk.",94.2
ADANIGREEN,Pro,PRO_4,Company has delivered strong revenue growth with a 5-year CAGR above 15%.,100.0
ADANIGREEN,Pro,PRO_5,Company demonstrates robust profitability with Operating Profit Margin exceeding 25%.,100.0
ADANIGREEN,Con,CON_1,Company carries high financial leverage with a Debt-to-Equity ratio exceeding 2.0.,100.0
ADANIGREEN,Con,CON_2,Company has experienced negative Free Cash Flow for 3 consecutive years.,100.0
ADANIGREEN,Con,CON_11,"Company maintains high Net Debt to EBITDA ratio (>3.0x), signaling elevated leverage risk.",100.0
ADANIPORTS,Pro,PRO_1,Company has maintained a healthy ROE above 20% over multiple years.,76.0
ADANIPORTS,Pro,PRO_4,Company has delivered strong revenue growth with a 5-year CAGR above 15%.,69.2
ADANIPORTS,Pro,PRO_5,Company demonstrates robust profitability with Operating Profit Margin exceeding 25%.,100.0
ADANIPORTS,Pro,PRO_10,Company's Return on Equity (ROE) has consistently improved over 3 consecutive years.,69.7
ADANIPORTS,Pro,PRO_11,Company exhibits operating leverage expansion with steady revenue and profit trajectory.,67.0
ADANIPORTS,Pro,PRO_12,Company is expanding its total asset base while actively reducing overall debt.,82.0
ADANIPORTS,Con,CON_11,"Company maintains high Net Debt to EBITDA ratio (>3.0x), signaling elevated leverage risk.",61.0
ADANIPOWER,Pro,PRO_1,Company has maintained a healthy ROE above 20% over multiple years.,88.9
ADANIPOWER,Pro,PRO_2,Company has generated positive Free Cash Flow for 5+ consecutive years.,95.0
ADANIPOWER,Pro,PRO_4,Company has delivered strong revenue growth with a 5-year CAGR above 15%.,62.2
ADANIPOWER,Pro,PRO_5,Company demonstrates robust profitability with Operating Profit Margin exceeding 25%.,76.5
ADANIPOWER,Pro,PRO_10,Company's Return on Equity (ROE) has consistently improved over 3 consecutive years.,86.2
ADANIPOWER,Pro,PRO_12,Company is expanding its total asset base while actively reducing overall debt.,99.1
ADANIPOWER,Con,CON_FALLBACK,Valuation multiples and revenue growth trajectory require ongoing monitoring.,65.0
AMBUJACEM,Pro,PRO_2,Company has generated positive Free Cash Flow for 5+ consecutive years.,70.0
AMBUJACEM,Pro,PRO_7,Company possesses strong debt service capacity with Interest Coverage Ratio above 10.,88.3
AMBUJACEM,Pro,PRO_11,Company exhibits operating leverage expansion with steady revenue and profit trajectory.,70.7
AMBUJACEM,Con,CON_12,Company has delivered sluggish 5-year revenue growth below 5% CAGR.,64.4
APOLLOHOSP,Pro,PRO_2,Company has generated positive Free Cash Flow for 5+ consecutive years.,80.0
APOLLOHOSP,Pro,PRO_6,Company has delivered exceptional profit growth with a 5-year PAT CAGR above 20%.,84.2
APOLLOHOSP,Pro,PRO_8,Company offers an attractive dividend yield backed by positive Free Cash Flow.,63.0
APOLLOHOSP,Pro,PRO_9,Company has consistently expanded per-share earnings with a 5-year EPS CAGR above 15%.,89.9
APOLLOHOSP,Pro,PRO_11,Company exhibits operating leverage expansion with steady revenue and profit trajectory.,92.2
APOLLOHOSP,Con,CON_2,Company has experienced negative Free Cash Flow for 3 consecutive years.,70.0
ASIANPAINT,Pro,PRO_1,Company has maintained a healthy ROE above 20% over multiple years.,100.0
ASIANPAINT,Pro,PRO_2,Company has generated positive Free Cash Flow for 5+ consecutive years.,100.0
ASIANPAINT,Pro,PRO_6,Company has delivered exceptional profit growth with a 5-year PAT CAGR above 20%.,61.0
ASIANPAINT,Pro,PRO_7,Company possesses strong debt service capacity with Interest Coverage Ratio above 10.,100.0
ASIANPAINT,Pro,PRO_8,Company offers an attractive dividend yield backed by positive Free Cash Flow.,79.0
ASIANPAINT,Pro,PRO_9,Company has consistently expanded per-share earnings with a 5-year EPS CAGR above 15%.,71.9
ASIANPAINT,Pro,PRO_10,Company's Return on Equity (ROE) has consistently improved over 3 consecutive years.,82.0
ASIANPAINT,Pro,PRO_11,Company exhibits operating leverage expansion with steady revenue and profit trajectory.,70.9
ASIANPAINT,Con,CON_8,Company's Debt-to-Equity ratio has been steadily increasing over 3 consecutive years.,65.5
ATGL,Pro,PRO_1,Company has maintained a healthy ROE above 20% over multiple years.,77.8
ATGL,Pro,PRO_4,Company has delivered strong revenue growth with a 5-year CAGR above 15%.,72.2
ATGL,Pro,PRO_6,Company has delivered exceptional profit growth with a 5-year PAT CAGR above 20%.,65.8
ATGL,Pro,PRO_9,Company has consistently expanded per-share earnings with a 5-year EPS CAGR above 15%.,79.1
ATGL,Pro,PRO_11,Company exhibits operating leverage expansion with steady revenue and profit trajectory.,64.2
ATGL,Con,CON_2,Company has experienced negative Free Cash Flow for 3 consecutive years.,70.0
AXISBANK,Pro,PRO_5,Company demonstrates robust profitability with Operating Profit Margin exceeding 25%.,100.0
AXISBANK,Pro,PRO_6,Company has delivered exceptional profit growth with a 5-year PAT CAGR above 20%.,89.5
AXISBANK,Pro,PRO_9,Company has consistently expanded per-share earnings with a 5-year EPS CAGR above 15%.,100.0
AXISBANK,Pro,PRO_11,Company exhibits operating leverage expansion with steady revenue and profit trajectory.,97.4
AXISBANK,Con,CON_10,Company generates low Return on Capital Employed (ROCE below 10%).,68.8
AXISBANK,Con,CON_11,"Company maintains high Net Debt to EBITDA ratio (>3.0x), signaling elevated leverage risk.",100.0
BAJAJ-AUTO,Pro,PRO_1,Company has maintained a healthy ROE above 20% over multiple years.,100.0
BAJAJ-AUTO,Pro,PRO_2,Company has generated positive Free Cash Flow for 5+ consecutive years.,80.0
BAJAJ-AUTO,Pro,PRO_7,Company possesses strong debt service capacity with Interest Coverage Ratio above 10.,100.0
BAJAJ-AUTO,Pro,PRO_8,Company offers an attractive dividend yield backed by positive Free Cash Flow.,64.5
BAJAJ-AUTO,Pro,PRO_11,Company exhibits operating leverage expansion with steady revenue and profit trajectory.,61.8
BAJAJ-AUTO,Con,CON_8,Company's Debt-to-Equity ratio has been steadily increasing over 3 consecutive years.,68.3
BAJAJFINSV,Pro,PRO_1,Company has maintained a healthy ROE above 20% over multiple years.,96.9
BAJAJFINSV,Pro,PRO_4,Company has delivered strong revenue growth with a 5-year CAGR above 15%.,71.9
BAJAJFINSV,Pro,PRO_5,Company demonstrates robust profitability with Operating Profit Margin exceeding 25%.,78.0
BAJAJFINSV,Pro,PRO_6,Company has delivered exceptional profit growth with a 5-year PAT CAGR above 20%.,65.6
BAJAJFINSV,Pro,PRO_9,Company has consistently expanded per-share earnings with a 5-year EPS CAGR above 15%.,71.2
BAJAJFINSV,Pro,PRO_11,Company exhibits operating leverage expansion with steady revenue and profit trajectory.,64.2
BAJAJFINSV,Con,CON_2,Company has experienced negative Free Cash Flow for 3 consecutive years.,100.0
BAJAJFINSV,Con,CON_8,Company's Debt-to-Equity ratio has been steadily increasing over 3 consecutive years.,78.2
BAJAJFINSV,Con,CON_11,"Company maintains high Net Debt to EBITDA ratio (>3.0x), signaling elevated leverage risk.",100.0
BAJAJHLDNG,Pro,PRO_3,Company is virtually debt-free with a Debt-to-Equity ratio of 0 in the latest year.,95.0
BAJAJHLDNG,Pro,PRO_4,Company has delivered strong revenue growth with a 5-year CAGR above 15%.,93.2
